time	stim1	stim2	cc	sd	gene
3hr	CpG	P3CSK	2.48837690507086e-07	0.000278852375569458	Malt1
3hr	CpG	P3CSK	0.019313956055517	0.00453031794002205	Marcksl1
3hr	CpG	P3CSK	8.23063467843477e-05	0.000304643564351984	Marco
3hr	CpG	P3CSK	0.000963615511198951	0.00110351533341124	Mefv
3hr	CpG	P3CSK	0.00117235752470346	0.00134811052825585	Mfap3l
3hr	CpG	P3CSK	0.00163772662778825	0.000956489435656321	Mir155hg
3hr	CpG	P3CSK	0.00949408765473722	0.0025724362708633	Mmd
3hr	CpG	P3CSK	0.00173794226930814	0.00121983889765719	Mmp13
3hr	CpG	P3CSK	0.00118353567696751	0.00084152724094666	Mmp14
3hr	CpG	P3CSK	0.000424240688490809	0.000447486682128746	Mmp3
3hr	CpG	P3CSK	0.000225739608905814	0.000646290297373994	Mmp8
3hr	CpG	P3CSK	7.85324458439862e-05	0.000305914194014175	Mmp9
3hr	CpG	P3CSK	0.00115939732788932	0.000842402986826117	Mpp7
3hr	CpG	P3CSK	9.12646920745369e-06	0.000323395276178256	Ms4a4a
3hr	CpG	P3CSK	0.00225190562929798	0.00116186408088108	Mt1
3hr	CpG	P3CSK	0.00424115107329701	0.00271146653142578	Mt2
3hr	CpG	P3CSK	0.000335773429293861	0.000789408941032276	Mtfr2
3hr	CpG	P3CSK	0.00333113034515933	0.00199870712782099	Mtus1
3hr	CpG	P3CSK	0.00127586645731777	0.00103880868658106	Mx1
3hr	CpG	P3CSK	0.000438802867448635	0.000891576960004874	Mx2
3hr	CpG	P3CSK	0.000527085835015349	0.000793569424570728	Mxd1
3hr	CpG	P3CSK	0.0108095612400822	0.00129026061319024	Myc
3hr	CpG	P3CSK	0.000810400909373431	0.00125812877455038	Mycl
3hr	CpG	P3CSK	0.000762730110535847	0.000785351922444967	Myo1b
3hr	CpG	P3CSK	0.000474367543740379	0.000595042119823186	Nek6
3hr	CpG	P3CSK	0.000463558168692942	0.000297677194022271	Nes
3hr	CpG	P3CSK	0.000118492217206474	0.000407201122624948	Nfil3
3hr	CpG	P3CSK	3.89436294067772e-06	0.000597540428881024	Nfkb1
3hr	CpG	P3CSK	0.00109835249463819	0.000694832787010904	Nfkb2
3hr	CpG	P3CSK	0.00157099651047974	0.000998352873661783	Nfkbia
